storeId,storeName,regionGroup,city,district,address,phone,hours,officialStoreUrl,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,allSourceSystems,gmbSystems,manualReviewReason
chage-031,桃園中正店,北部,桃園市,桃園區,桃園市桃園區中正路534號,03-3317685,10:00~21:45(週一~四) 10:00~22:45(週五) 11:00~22:45(週六~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2779,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-032,桃園中華店,北部,桃園市,桃園區,桃園市桃園區中華路34號,03-3310885,10:00~21:30 (週 一 ~週 日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=123,confirmed,confirmed,True,True,LINE; QuickClick,LINE,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-033,桃園南崁店,北部,桃園市,桃園巿龜山區,桃園巿龜山區南上路66號,03-3528818,11:00~00:00(週一~週六 ) 週日公休,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=555,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats,LINE; Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-034,桃園延平店,北部,桃園市,桃園區,桃園市桃園區延平路167號,03-3627689,10:00~21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2630,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-035,桃園成功店,北部,桃園市,桃園區,桃園市桃園區成功路一段25號,03-3332499,10:00~21:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2500,confirmed,confirmed,True,True,LINE; QuickClick; foodpanda,LINE; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-036,楊梅大成店,北部,桃園市,楊梅區,楊梅區大成路164號,03-488-4043,10:00~21:30,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3938,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-037,蘆竹大竹店,北部,桃園市,蘆竹區,桃園市蘆竹區大竹路413號1樓,03-3131277,10:30～21:30(週日～週四 )、10:30～22:30(週五~週六),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3181,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-038,觀音成功店,北部,桃園市,觀音區,桃園市觀音區成功路二段863號1F,03-483-0369,10:00~20:00(每週日固定公休),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8517,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-039,龜山復興店,北部,桃園市,龜山區,桃園市龜山區復興二路103號,03-3283383,10:00~20:40(週二~五) 11:00-20:30(週六) 公休日：日一,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3722,confirmed,no_gmb_order_button,True,False,QuickClick,,"Named GMB profile was verified after rejecting address-only or embedded Maps leads, but no blue Google Order entry was visible during the re-check."
chage-040,龜山文興店,北部,桃園市,龜山區,桃園市龜山區文興路88號,03-3285980,10:00~22:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3299,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-041,龜山樂善店,北部,桃園市,龜山區,桃園市龜山區樂善二路537號,03-397-0357,10:00~21:00,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8826,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-042,苗栗後龍店,北部,苗栗縣,後龍鎮,苗栗縣後龍鎮中龍里中北街250之7號,03-7722227,10:00 ~ 22:00 (週 一 ~ 日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2738,confirmed,no_gmb_order_button,True,False,QuickClick,,"Named GMB profile was verified after rejecting address-only or embedded Maps leads, but no blue Google Order entry was visible during the re-check."
chage-043,苗栗新苗店,北部,苗栗縣,苗栗市,苗栗市新苗街91號,03-7359679,10:00~17:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=150,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-044,頭份中央店,北部,苗栗縣,頭份市,苗栗縣頭份市中央路146號,03-767-1695 周一~周六10:30-21:00(周日公休),,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8836,confirmed,confirmed,True,True,LINE; foodpanda,LINE; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-045,南屯大墩店,中部,台中市,南屯區,台中市南屯區南屯路二段202號,04-24737950,10:00~20:00(週一~五)、11:00~20:00(週六~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2931,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-046,台中大智店,中部,台中市,東區,台中市東區大智路57號,04-22244603,10:00~20:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8552,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-047,大甲鎮瀾店,中部,台中市,大甲區,台中市大甲區鎮瀾街163號1樓,04-26883652,10:00~23:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2937,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats; foodpanda,LINE; Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-048,沙鹿中山店,中部,台中市,沙鹿區,台中市沙鹿區中山路400號,04-26630867,10:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3361,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-049,彰化永安店,中部,彰化縣,彰化市,彰化市永安街194號,04-725-2983 ​,12:00~21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=168,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-050,永康中華店,南部,台南市,永康區,台南市永康區中華路489號,06-3020158,9:30~22(週一~ 週 六) 9:30~17:00(週日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1259,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats; foodpanda,LINE; Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-051,鳳山五甲店,南部,高雄市,鳳山區,高雄市鳳山區五甲三路15號,07-821-1698｜0916-963-058,10:00 ~ 21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=91,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-052,花蓮國聯店,東部,花蓮縣,花蓮市,花蓮市國聯二路148號,（03）8333768,,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8896,confirmed,confirmed,True,True,Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-053,花蓮民國店,東部,花蓮縣,花蓮市,花蓮市民國路32-2號,03-8322525,10:00-22:00(週一~週日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8726,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-054,花蓮蓮成店,東部,花蓮縣,花蓮市,花蓮市中華路268-1號,03-8357377,10:00-21:00(週一~週日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3698,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
